key,RU,EN
unknown_error,Неизвестная ошибка,Unknown error
empty_firstname,Имя не может быть пустым,First name can not be empty
firstname_too_short,Имя должно быть не менее 6 символов,First name must be at least 6 characters
firstname_too_long,Имя должно быть не более 50 символов,First name must be no more than 50 characters
empty_lastname,Фамилия не может быть пустой,Last name can not be empty
lastname_too_short,Фамилия должна быть не менее 6 символов,Last name must be at least 6 characters
lastname_too_long,Фамилия должна быть не более 50 символов,Last name must be no more than 50 characters
empty_password,Пароль не может быть пустым,Password can not be empty
password_too_short,Пароль должен быть не менее 6 символов,Password must be at least 6 characters
password_too_long,Пароль должен быть не более 32 символов,Password must be no more than 32 characters
invalid_password,Неверный пароль,Invalid password
same_password,Новый пароль не может совпадать со старым,New password can not be the same as the old one
empty_email,Email не может быть пустым,Email can not be empty
invalid_email,Неверный формат email,Invalid email
email_doesnt_exist,Пользователь с таким email не существует,User with this email does not exist
email_already_exists,Пользователь с таким email уже существует,User with this email already exists
invalid_user_type,Неверный тип пользователя,Invalid user type
user_not_found,Пользователь не найден,User not found
account_not_active,Аккаунт не активирован,Account not activated
empty_merchant_role,Роль не может быть пустой,Role can not be empty
invalid_merchant_role,Неверная роль,Invalid role
empty_currency,Валюта не может быть пустой,Currency can not be empty
invalid_currency,Неверная валюта,Invalid currency
empty_phone_number,Номер телефона не может быть пустым,Phone number can not be empty
empty_address,Адрес не может быть пустым,Address can not be empty
invalid_product_status,Неверный статус продукта,Invalid product status
invalid_product_price,Неверная цена продукта,Invalid product price
invalid_product_quantity,Неверное количество продукта,Invalid product quantity
invalid_product_img_url,Неверный URL изображения продукта,Invalid product image URL
invalid_review_rating,Рейтинг отзыва должен быть от 1 до 5,Review rating must be from 1 to 5
invalid_review_comment,Комментарий отзыва должен быть не более 250 символов,Review comment must be no more than 250 characters
wrong_mlstring_format,Неверный формат mlstring,Wrong mlstring format
user_agent_empty,User agent не может быть пустым,User agent can not be empty
user_session_already_exists,Сессия уже существует,Session already exists
user_session_not_found,Сессия не найдена,Session not found
user_already_exists,Пользователь уже существует,User already exists
unauthorized,Неавторизованный запрос,Unauthorized request
empty_org_name,Название организации не может быть пустым,Organization name can not be empty
org_name_too_short,Название организации должно быть не менее 3 символов,Organization name must be at least 6 characters
org_name_too_long,Название организации должно быть не более 50 символов,Organization name must be no more than 50 characters
do_not_have_an_access,У вас нет доступа,You do not have an access
old_password_does_not_match,Старый пароль не совпадает,Old password does not match
empty_org_logo,Логотип организаций не может быть пустым, Organization logo can not be empty
org_not_found,Организация не найдена,Organization not found
user_already_in_org,Пользователь уже состоит в организации,User already in organization
file_is_nil,Файл не может быть пустым,File can not be empty
uploaded_img_invalid,Загруженное изображение неверно,Uploaded image is invalid
file_not_found,Файл не найден,File not found
empty_lang,Предпочитаемый язык интерфейса не может быть пустым,Preferred language of web-interface can not be empty
invalid_lang,Данный язык отсутствует в системе,This language is not available in the system
product_already_exists,Продукт уже существует,Product already exists
product_not_found,Продукт не найден,Product not found
empty_product_name,Название продукта не может быть пустым,Product name can not be empty
empty_delivery_address,Адрес доставки не может быть пустым,Delivery address can not be empty
invalid_order_quantity,Неверное количество заказа,Invalid order quantity
invalid_order_price,Неверное количество заказа,Invalid order quantity
invalid_order_status,Неверный статус заказа,Invalid order status
empty_customer_name,Имя клиента не может быть пустым,Customer name can not be empty
empty_customer_phone,Телефон клиента не может быть пустым,Customer phone can not be empty
order_already_exists,Заказ уже существует,Order already exists
order_not_found,Заказ не найден,Order not found
wrong_products_total_price,Неверная итоговая цена продуктов,Wrong products total price
empty_section_name,Название раздела не может быть пустым,Section name can not be empty
empty_category_name,Название категории не может быть пустым,Category name can not be empty
category_already_exists,Категория уже существует,Category already exists
category_not_found,Категория не найдена,Category not found
section_already_exists,Раздел уже существует,Section already exists
section_not_found,Раздел не найден,Section not found
uuid_invalid_length,Неверная длина UUID,Invalid UUID length
maximum_number_of_catalogs,Достигнуто максимальное количество каталогов,Maximum number of catalogs reached
duplicate_section,Дубликат раздела,Duplicate section
duplicate_category,Дубликат категории,Duplicate category
duplicate_product,Дубликат продукта,Duplicate product
empty_slide_img,Изображение слайда не может быть пустым,Slide image can not be empty
slide_already_exists,Слайд уже существует,Slide already exists
slide_not_found,Слайд не найден,Slide not found
catalog_not_found,Каталог не найден,Catalog not found
catalog_section_not_found,Раздел каталога не найден,Catalog section not found
catalog_category_not_found,Категория каталога не найдена,Catalog category not found
catalog_product_not_found,Продукт каталога не найден,Catalog product not found
invalid_order_delivery_date,Неверная дата доставки,Invalid delivery date